carat,cut,color,clarity,x,y,z
1.39,4,4,5,7.27,7.33,4.34
0.56,4,1,4,5.43,5.46,3.19
0.71,2,2,3,5.64,5.58,3.67
2.03,2,2,3,8.19,8.14,5.03
0.54,2,3,2,5.31,5.36,3.2
0.34,3,3,5,4.43,4.49,2.73
0.56,2,2,2,5.27,5.32,3.3
0.38,2,2,3,4.69,4.74,2.87
0.5,3,4,3,5.14,5.05,3.11
0.36,4,1,3,4.5,4.54,2.83
1.0,1,2,7,6.36,6.4,3.87
0.5,3,3,7,5.14,5.1,3.11
0.31,2,2,6,4.32,4.3,2.69
0.4,2,1,6,4.7,4.73,2.9
0.76,4,1,5,5.76,5.82,3.67
0.98,0,3,2,6.33,6.24,4.03
1.03,4,0,3,6.46,6.49,3.97
0.35,2,4,1,4.55,4.53,2.8
0.54,1,2,2,5.21,5.24,3.31
0.3,3,3,5,4.25,4.24,2.64
0.51,2,2,5,5.11,5.14,3.18
0.41,2,2,4,4.76,4.74,2.95
0.96,0,1,3,6.49,6.46,3.73
0.51,3,3,7,5.21,5.18,3.07
1.53,0,5,5,7.6,7.51,4.36
0.35,2,3,6,4.54,4.57,2.81
1.02,4,4,2,6.34,6.4,4.01
1.2,4,4,2,6.78,6.91,4.19
0.58,2,3,2,5.33,5.38,3.32
1.0,4,1,2,6.35,6.4,4.06
0.36,3,0,3,4.62,4.58,2.76
1.01,2,4,5,6.41,6.39,4.01
0.51,4,3,6,5.08,5.12,3.21
0.7,1,4,5,5.58,5.61,3.59
0.57,3,5,6,5.32,5.25,3.28
0.3,2,1,5,4.31,4.33,2.68
0.76,2,1,2,5.87,5.91,3.61
1.5,3,1,5,7.53,7.46,4.46
0.4,3,2,4,4.77,4.81,2.89
1.01,3,4,3,6.34,6.29,3.91
0.4,4,1,6,4.68,4.72,3.0
0.35,2,2,5,4.48,4.53,2.8
0.31,2,1,1,4.37,4.35,2.7
0.34,1,1,2,4.46,4.49,2.83
1.12,4,5,3,6.69,6.74,4.11
0.55,2,6,5,5.34,5.29,3.28
0.32,2,0,2,4.42,4.38,2.73
0.3,2,5,5,4.31,4.29,2.69
0.7,3,1,2,6.65,5.73,3.48
1.04,2,2,7,6.53,6.5,3.99
0.71,1,4,2,5.84,5.79,3.39
0.4,2,1,7,4.74,4.79,2.93
0.3,4,1,5,4.26,4.29,2.65
0.3,2,3,1,4.32,4.35,2.64
0.96,2,2,4,6.4,6.34,3.93
2.01,4,5,4,7.87,7.94,4.98
0.72,2,5,7,5.73,5.78,3.58
0.54,2,0,5,5.24,5.18,3.26
1.56,4,5,4,7.65,7.7,4.47
1.0,1,1,2,6.27,6.4,4.02
0.35,1,1,4,4.6,4.62,2.74
0.58,2,1,5,5.36,5.39,3.31
1.11,2,3,1,6.64,6.68,4.12
1.55,2,6,4,7.52,7.54,4.55
0.4,1,3,1,4.75,4.8,2.85
1.5,2,2,2,7.43,7.36,4.5
0.75,1,2,4,5.67,5.72,3.66
1.66,2,4,4,7.6,7.66,4.69
0.83,2,1,5,6.06,6.08,3.72
0.55,2,1,4,5.22,5.26,3.26
0.5,3,2,7,5.07,5.1,3.15
1.01,0,1,6,6.19,6.1,4.06
1.52,2,3,5,7.35,7.4,4.52
1.01,1,1,2,6.58,6.6,3.86
0.31,2,1,6,4.43,4.45,2.64
1.03,2,2,5,6.48,6.43,4.03
0.38,3,5,5,4.58,4.61,2.87
0.35,2,0,2,4.54,4.57,2.8
1.05,3,0,2,6.73,6.66,3.92
1.13,0,5,5,7.05,6.94,3.9
1.41,3,4,3,7.41,7.34,4.36
0.9,3,0,2,6.32,6.3,3.75
1.52,1,1,4,7.27,7.19,4.63
0.39,2,1,4,4.78,4.79,2.88
0.7,3,4,5,5.66,5.68,3.5
0.81,2,1,5,5.99,5.97,3.71
0.41,2,3,5,4.72,4.78,2.95
1.08,3,2,5,6.59,6.54,4.08
1.22,2,5,2,6.91,6.86,4.25
0.7,0,2,3,5.51,5.42,3.63
0.33,2,1,4,4.48,4.52,2.71
1.12,2,4,3,6.65,6.68,4.16
1.0,4,4,2,6.33,6.37,4.04
0.31,3,5,6,4.33,4.39,2.66
1.01,4,0,5,6.35,6.41,4.01
0.57,2,3,5,5.32,5.3,3.28
0.76,2,3,3,5.81,5.86,3.66
0.23,4,1,7,3.92,3.95,2.48
0.6,1,2,2,5.68,5.57,3.21
1.35,2,0,5,7.13,7.09,4.36
1.14,3,2,6,6.79,6.74,4.11
1.0,4,1,3,6.24,6.27,4.0
1.51,1,1,2,7.23,7.28,4.61
1.12,3,4,4,6.82,6.77,4.05
0.7,3,5,3,5.79,5.73,3.43
0.52,2,4,5,5.12,5.08,3.16
0.31,2,1,5,4.4,4.37,2.7
0.56,2,0,5,5.37,5.33,3.24
1.7,3,1,5,7.57,7.54,4.75
0.91,0,0,2,6.08,6.04,3.95
0.42,2,5,4,4.8,4.82,2.97
0.3,3,1,3,4.31,4.28,2.66
0.3,2,1,4,4.36,4.31,2.63
0.57,2,1,2,5.33,5.28,3.28
0.4,2,3,6,4.73,4.76,2.94
2.16,2,4,0,8.31,8.26,5.15
0.55,2,4,7,5.26,5.28,3.25
0.41,2,4,2,4.77,4.79,2.99
0.9,4,1,2,6.14,6.2,3.81
0.7,4,1,1,5.72,5.76,3.46
0.3,4,3,3,4.28,4.25,2.7
0.52,2,3,7,5.13,5.17,3.2
1.05,3,3,3,6.49,6.46,4.0
1.0,2,1,5,6.42,6.36,3.96
1.25,1,5,3,6.83,6.87,4.34
1.53,3,5,2,7.54,7.49,4.57
2.01,4,6,3,8.11,8.19,4.94
0.51,2,1,5,5.09,5.12,3.14
0.3,2,1,5,4.31,4.28,2.64
0.72,2,4,6,5.76,5.82,3.47
0.43,2,2,7,4.85,4.83,3.01
0.39,4,3,2,4.68,4.7,2.93
0.9,4,2,5,6.08,6.13,3.82
0.9,1,4,5,6.11,6.09,3.88
1.08,3,4,5,6.59,6.54,4.13
1.21,3,2,5,6.75,6.72,4.19
1.0,2,0,3,6.39,6.33,3.96
0.44,2,3,1,4.91,4.95,3.02
0.34,2,3,1,4.5,4.53,2.77
0.32,2,3,1,4.39,4.46,2.74
0.32,2,0,5,4.46,4.42,2.71
0.5,4,5,2,5.02,5.05,3.13
0.54,4,4,6,5.2,5.25,3.24
0.91,4,2,3,6.2,6.22,3.8
1.75,2,3,3,7.73,7.78,4.78
0.91,4,0,3,6.06,6.09,3.88
1.51,4,1,3,7.31,7.28,4.6
0.7,1,2,2,5.71,5.74,3.42
0.55,2,3,2,5.23,5.27,3.25
0.5,4,4,5,5.03,5.07,3.17
0.32,2,5,3,4.43,4.45,2.71
1.01,1,2,3,6.2,6.25,4.04
1.58,3,3,7,7.5,7.4,4.65
1.2,4,2,5,6.81,6.87,4.18
0.7,4,2,4,5.64,5.66,3.55
0.58,2,3,3,5.38,5.42,3.32
0.39,2,2,5,4.69,4.73,2.88
0.51,3,1,2,5.27,5.22,3.05
0.71,4,0,7,5.65,5.71,3.54
0.51,4,3,7,5.11,5.07,3.23
0.51,4,1,2,5.07,5.12,3.2
0.33,2,4,1,4.51,4.5,2.73
1.11,2,3,4,6.67,6.71,4.1
0.3,4,3,4,4.29,4.33,2.66
0.4,3,3,2,4.81,4.78,2.84
0.31,2,0,5,4.46,4.41,2.67
1.53,2,2,2,7.39,7.34,4.54
1.0,2,1,2,6.37,6.45,3.95
2.02,0,3,0,7.77,7.72,5.27
1.26,2,4,4,6.94,6.91,4.26
0.39,2,2,6,4.71,4.74,2.94
1.51,3,5,3,7.41,7.36,4.53
0.64,1,2,4,5.68,5.75,3.29
1.21,2,1,2,6.82,6.86,4.26
1.0,1,3,5,6.29,6.37,4.01
0.41,3,3,7,4.74,4.8,2.94
0.52,2,1,5,5.22,5.17,3.14
0.41,3,0,6,4.78,4.75,2.97
0.37,3,2,5,4.64,4.68,2.78
0.42,2,3,2,4.83,4.8,3.01
0.56,2,2,2,5.28,5.3,3.25
0.25,4,2,4,4.13,4.16,2.47
0.96,1,3,2,6.52,6.39,3.67
0.9,4,0,3,6.24,6.26,3.63
0.9,4,0,2,6.13,6.19,3.85
0.31,3,4,7,4.29,4.33,2.7
1.23,4,0,2,6.96,7.02,4.17
1.34,3,3,5,7.13,7.07,4.33
0.24,2,4,7,3.95,3.98,2.48
0.24,4,2,4,3.94,3.99,2.46
2.51,0,4,3,8.44,8.5,5.48
0.9,1,0,2,6.09,6.13,3.9
0.32,4,3,2,4.36,4.41,2.72
1.0,4,2,4,6.58,6.47,3.81
0.75,4,1,3,5.95,5.99,3.52
0.31,2,4,4,4.38,4.34,2.69
0.51,4,1,3,5.09,5.13,3.17
0.31,3,3,7,4.44,4.4,2.65
0.54,2,2,3,5.26,5.29,3.26
1.52,4,0,5,7.31,7.35,4.54
0.54,4,1,5,5.21,5.23,3.21
0.3,2,1,6,4.3,4.31,2.66
0.69,2,2,2,5.72,5.74,3.51
0.51,1,1,5,5.08,5.12,3.23
1.05,2,6,2,6.47,6.5,4.04
1.01,3,6,5,6.45,6.35,3.99
1.01,3,5,2,6.46,6.42,3.86
1.02,4,0,5,6.37,6.42,4.02
0.71,2,4,5,5.76,5.74,3.5
0.53,2,3,4,5.18,5.21,3.23
0.31,4,1,2,4.36,4.33,2.74
0.31,2,1,5,4.34,4.38,2.66
0.35,2,6,4,4.51,4.54,2.83
0.7,3,3,7,5.77,5.69,3.47
1.01,4,6,2,6.37,6.41,4.01
0.42,4,0,2,4.77,4.79,3.01
1.73,2,6,5,7.64,7.6,4.8
1.02,2,3,4,6.46,6.4,4.0
0.31,2,3,6,4.36,4.39,2.69
1.2,2,5,4,6.84,6.8,4.23
0.62,4,2,5,5.54,5.49,3.28
0.7,4,3,7,5.62,5.64,3.57
1.0,4,0,5,6.35,6.31,3.89
0.5,1,0,3,5.09,5.02,3.22
0.4,3,3,2,4.71,4.74,2.93
0.7,3,3,3,5.91,5.88,3.42
0.8,2,2,5,5.93,6.0,3.7
0.27,2,1,4,4.14,4.17,2.56
0.34,2,2,5,4.46,4.48,2.8
0.3,2,1,7,4.28,4.34,2.69
0.7,4,1,4,5.63,5.68,3.52
0.8,2,4,1,5.93,5.99,3.72
0.73,2,1,5,5.74,5.77,3.58
1.01,1,2,2,6.4,6.35,4.06
0.32,2,0,6,4.39,4.36,2.71
0.36,2,1,7,4.6,4.62,2.85
0.32,2,4,1,4.46,4.45,2.72
0.85,2,4,3,6.02,6.07,3.78
0.51,2,1,5,5.08,5.13,3.19
1.51,3,1,2,7.53,7.43,4.46
0.33,1,5,2,4.4,4.43,2.81
1.29,3,4,5,7.1,7.01,4.28
0.25,4,2,6,4.06,4.09,2.52
0.71,4,3,7,5.69,5.75,3.59
1.2,4,1,4,6.94,7.0,4.14
0.33,2,1,7,4.53,4.56,2.72
0.29,4,1,6,4.33,4.4,2.57
0.4,3,2,5,4.75,4.8,2.94
0.5,2,3,2,5.09,5.05,3.15
0.59,3,5,1,5.38,5.41,3.3
1.72,3,4,5,7.72,7.69,4.72
0.31,2,4,1,4.39,4.41,2.7
1.78,4,0,3,7.76,7.8,4.86
1.5,2,3,3,7.31,7.26,4.52
0.56,2,2,7,5.35,5.37,3.27
1.08,3,2,3,6.65,6.6,3.99
0.74,4,4,2,5.71,5.76,3.58
0.41,1,1,2,4.72,4.74,3.01
0.31,2,0,5,4.39,4.42,2.68
0.32,2,2,5,4.45,4.4,2.67
0.24,4,4,1,4.04,4.06,2.48
0.72,3,5,2,5.73,5.78,3.54
0.24,4,1,7,3.97,4.01,2.48
1.1,4,2,0,6.65,6.7,3.99
0.74,3,3,4,5.74,5.68,3.59
0.54,2,4,7,5.25,5.27,3.25
1.14,4,2,5,6.84,6.81,4.03
0.96,3,1,3,6.52,6.47,3.78
0.9,4,4,2,6.12,6.16,3.87
0.31,2,3,2,4.38,4.4,2.71
0.32,2,5,6,4.4,4.37,2.74
0.25,4,0,6,3.94,3.99,2.53
0.5,2,2,3,5.13,5.15,3.17
0.33,2,1,7,4.44,4.41,2.73
1.14,2,0,3,6.77,6.69,4.13
0.55,2,6,2,5.24,5.3,3.21
0.33,2,0,5,4.48,4.5,2.73
0.29,2,4,1,4.26,4.29,2.65
0.77,3,6,4,5.85,5.82,3.63
0.73,2,1,4,5.75,5.8,3.6
0.61,4,5,7,5.47,5.51,3.4
1.01,2,3,5,6.44,6.49,3.99
0.32,2,2,6,4.41,4.43,2.72
0.32,3,2,5,4.38,4.41,2.71
0.33,2,2,1,4.48,4.5,2.75
0.57,1,3,2,5.29,5.32,3.36
0.53,2,2,7,5.18,5.22,3.22
0.53,2,3,5,5.19,5.22,3.19
1.01,4,1,5,6.31,6.36,3.97
0.55,2,5,6,5.23,5.17,3.26
0.34,2,1,3,4.47,4.5,2.8
0.7,2,2,4,5.69,5.65,3.54
0.3,3,4,2,4.36,4.38,2.59
0.42,4,3,5,4.79,4.86,2.9
0.31,4,0,3,4.33,4.37,2.69
1.24,2,6,3,7.02,6.98,4.21
0.95,4,4,3,6.38,6.51,3.77
0.46,2,1,6,4.93,4.97,3.1
0.32,2,1,2,4.41,4.45,2.7
1.07,3,1,3,6.59,6.67,4.01
2.01,4,3,3,8.01,8.05,5.08
0.7,2,1,3,5.66,5.7,3.54
0.3,2,0,2,4.32,4.33,2.64
2.03,3,5,2,8.21,8.16,5.01
0.6,4,4,5,5.27,5.32,3.4
0.7,3,2,2,5.74,5.68,3.51
1.0,3,2,2,6.4,6.44,3.93
0.31,2,3,6,4.37,4.38,2.74
0.91,2,1,2,6.21,6.23,3.85
0.41,1,1,4,4.77,4.79,2.93
1.01,3,0,4,6.46,6.4,3.93
1.0,3,2,2,6.37,6.43,3.99
0.38,3,3,4,4.63,4.67,2.88
0.33,3,1,2,4.43,4.41,2.75
1.01,4,2,2,6.31,6.39,4.0
0.6,2,4,3,5.43,5.46,3.37
1.21,2,2,2,6.87,6.85,4.19
1.21,3,1,2,6.75,6.7,4.24
0.3,2,0,5,4.3,4.27,2.67
0.58,2,2,4,5.34,5.37,3.33
1.23,3,3,4,6.88,6.84,4.24
0.42,3,0,2,4.76,4.81,2.96
0.57,3,1,2,5.41,5.35,3.17
1.0,4,1,1,6.32,6.39,4.01
2.0,4,1,3,7.94,8.0,5.01
0.31,2,5,4,4.35,4.31,2.72
0.32,3,2,5,4.4,4.37,2.69
0.5,1,2,2,5.03,4.94,3.21
1.05,3,3,3,6.51,6.48,4.07
1.0,1,0,5,6.38,6.35,3.95
0.3,3,0,2,4.32,4.29,2.65
0.9,4,4,5,6.07,6.16,3.83
0.71,2,4,1,5.74,5.79,3.53
1.01,3,1,3,6.53,6.47,3.94
0.9,2,2,4,6.2,6.23,3.83
0.41,4,2,2,4.74,4.73,3.0
1.11,3,1,5,6.61,6.64,4.12
0.4,2,0,5,4.72,4.74,2.92
1.15,3,2,3,6.82,6.77,4.15
0.31,2,3,7,4.35,4.33,2.69
0.35,2,0,5,4.55,4.51,2.76
1.51,4,6,2,7.47,7.56,4.42
0.6,2,2,5,5.49,5.51,3.34
1.21,3,4,1,6.8,6.83,4.24
0.9,3,5,5,6.15,6.09,3.77
0.37,2,2,2,4.61,4.65,2.85
1.2,4,3,5,6.74,6.69,4.24
1.56,1,5,3,7.58,7.63,4.45
0.3,4,0,3,4.25,4.31,2.61
1.04,2,3,5,6.49,6.5,4.03
1.5,2,4,5,7.27,7.33,4.54
0.56,2,0,2,5.31,5.36,3.23
1.5,2,3,2,7.29,7.33,4.53
0.72,2,1,2,5.7,5.75,3.55
2.01,4,4,5,7.92,7.86,5.01
0.72,2,2,6,5.81,5.83,3.54
0.5,4,4,5,5.03,5.12,3.16
0.72,3,1,6,5.75,5.67,3.59
0.31,3,1,6,4.31,4.33,2.67
0.65,3,0,7,5.69,5.63,3.39
0.3,1,3,4,4.31,4.25,2.72
0.37,2,3,1,4.6,4.64,2.87
0.5,0,0,2,5.0,4.96,3.24
0.3,0,0,7,4.2,4.18,2.73
0.9,4,5,5,6.15,6.2,3.78
1.52,3,0,2,7.5,7.43,4.44
0.38,3,5,5,4.61,4.58,2.87
0.9,3,2,3,6.23,6.2,3.76
0.5,2,1,3,5.07,5.03,3.15
0.54,2,0,5,5.22,5.26,3.21
1.51,4,5,7,7.35,7.38,4.56
0.24,4,1,7,4.03,4.06,2.44
0.56,2,1,4,5.32,5.34,3.25
0.28,4,1,6,4.16,4.21,2.59
1.02,2,3,3,6.42,6.4,4.01
0.3,3,4,4,4.28,4.23,2.68
1.46,3,6,3,7.43,7.34,4.44
0.46,2,3,2,4.97,4.99,3.06
0.34,2,0,7,4.54,4.58,2.74
0.7,2,2,2,5.75,5.8,3.52
1.26,0,0,3,6.75,6.71,4.34
0.73,1,2,7,5.8,5.83,3.46
1.22,3,1,3,6.86,6.84,4.21
1.25,2,4,4,6.89,6.92,4.29
1.2,2,5,2,6.75,6.8,4.23
1.02,4,4,3,6.36,6.32,4.02
0.5,4,4,2,5.2,5.23,3.13
0.3,3,4,7,4.28,4.23,2.68
1.23,3,6,4,6.95,6.9,4.16
1.0,0,1,3,6.54,6.49,3.71
0.56,2,3,4,5.33,5.36,3.25
2.14,4,2,3,8.45,8.5,4.93
0.53,2,1,2,5.2,5.24,3.23
2.03,2,5,2,8.06,8.02,5.06
1.7,4,0,3,7.76,7.83,4.75
0.87,4,6,2,6.14,6.17,3.78
0.32,2,5,7,4.37,4.33,2.74
1.01,3,4,2,6.38,6.33,3.93
0.81,3,4,5,6.17,6.13,3.57
2.05,4,5,3,8.32,8.41,5.0
1.01,3,0,5,6.53,6.48,3.9
1.22,3,6,4,6.92,6.85,4.25
0.56,2,1,5,5.21,5.23,3.28
2.02,4,6,5,8.03,8.1,5.05
0.32,2,1,7,4.41,4.43,2.71
0.41,3,2,5,4.85,4.8,2.91
0.96,2,2,4,6.38,6.34,3.89
0.52,4,1,4,5.31,5.38,3.16
0.4,2,3,2,4.82,4.79,2.93
1.53,3,3,3,7.52,7.49,4.39
0.44,3,4,3,5.01,4.98,2.96
1.0,2,1,5,6.46,6.41,3.99
0.76,2,2,3,5.87,5.9,3.62
0.91,4,6,5,6.13,6.25,3.81
1.0,1,3,7,6.34,6.38,3.92
0.96,2,4,3,6.3,6.35,3.93
0.4,3,1,3,4.69,4.66,2.94
0.55,2,2,3,5.22,5.27,3.27
0.31,2,3,5,4.34,4.31,2.72
0.71,4,6,3,5.67,5.76,3.49
0.41,2,1,7,4.82,4.79,2.93
1.0,3,2,5,6.37,6.29,3.96
0.35,2,2,5,4.53,4.56,2.83
1.26,1,6,2,6.78,6.74,4.32
0.72,2,6,7,5.74,5.77,3.54
0.3,2,1,5,4.29,4.32,2.66
0.9,1,0,5,6.09,6.16,3.89
0.3,0,1,7,4.14,4.18,2.77
2.04,4,5,5,8.18,8.2,4.94
0.59,2,0,2,5.36,5.4,3.3
1.02,4,1,5,6.58,6.48,3.94
1.17,2,3,5,6.75,6.72,4.19
1.0,1,2,3,6.36,6.29,3.76
0.34,2,4,1,4.56,4.55,2.77
1.7,2,1,2,7.71,7.74,4.64
2.42,3,6,5,8.61,8.58,5.27
1.61,3,4,2,7.59,7.53,4.64
0.3,3,1,5,4.28,4.24,2.65
1.52,3,3,6,7.32,7.35,4.6
0.5,4,3,7,4.98,5.02,3.15
0.4,3,1,6,4.74,4.68,2.89
1.0,3,2,0,6.6,6.55,3.87
1.0,3,2,3,6.39,6.3,3.99
1.51,3,6,5,7.43,7.36,4.49
1.01,3,4,2,6.6,6.54,3.94
0.71,4,6,5,5.81,5.85,3.44
0.52,2,1,5,5.17,5.2,3.23
0.74,1,3,2,5.73,5.71,3.64
0.51,4,3,5,5.13,5.16,3.15
0.42,4,2,2,4.81,4.89,2.94
0.71,3,5,7,5.69,5.75,3.54
1.0,3,5,2,6.55,6.5,3.89
0.4,3,4,2,4.69,4.67,2.94
1.29,2,6,5,6.92,6.96,4.31
1.24,2,3,7,6.88,6.92,4.24
1.2,4,5,2,6.73,6.79,4.22
0.35,3,3,4,4.52,4.49,2.78
0.33,3,3,7,4.43,4.39,2.73
0.7,4,0,2,5.66,5.68,3.56
0.31,2,6,3,4.35,4.37,2.71
0.5,2,4,6,5.13,5.14,3.18
0.34,3,0,3,4.58,4.54,2.7
0.36,2,2,1,4.58,4.62,2.84
0.31,3,3,5,4.31,4.34,2.67
1.29,3,5,5,7.12,7.03,4.27
1.05,3,0,2,6.55,6.5,4.02
0.3,3,3,6,4.27,4.22,2.66
0.9,3,5,3,6.11,6.07,3.79
0.73,2,2,7,5.82,5.76,3.57
0.53,2,4,5,5.19,5.24,3.2
0.45,2,1,3,4.92,4.97,3.04
0.34,2,0,2,4.45,4.48,2.8
0.34,1,0,6,4.67,4.71,2.69
1.5,2,5,4,7.35,7.32,4.5
1.5,4,4,7,7.26,7.31,4.58
0.5,3,1,2,5.19,5.24,3.09
1.04,3,4,3,6.54,6.51,4.01
1.11,2,0,3,6.62,6.66,4.09
0.32,3,1,5,4.4,4.43,2.7
0.51,4,4,4,5.18,5.21,3.16
0.46,0,2,5,4.9,4.76,3.19
0.41,4,0,3,4.75,4.78,2.99
0.4,3,0,7,4.78,4.74,2.89
1.52,0,4,3,7.12,7.09,4.62
1.08,2,3,3,6.56,6.59,4.09
0.56,2,4,2,5.26,5.3,3.26
0.3,4,3,2,4.29,4.32,2.56
2.12,3,5,5,8.3,8.26,5.09
0.7,3,0,3,5.75,5.72,3.43
0.25,4,4,6,4.07,4.1,2.51
0.3,3,2,1,4.3,4.34,2.66
0.35,3,0,3,4.54,4.48,2.81
1.05,3,4,3,6.48,6.44,4.07
0.7,1,2,2,5.56,5.67,3.58
0.32,2,4,5,4.38,4.4,2.71
0.9,0,6,4,6.12,6.06,3.93
1.21,4,6,4,6.71,6.8,4.23
1.0,1,5,4,6.37,6.18,4.01
0.43,3,0,7,4.95,4.97,2.95
0.33,4,3,6,4.4,4.44,2.71
0.31,4,5,4,4.31,4.35,2.72
0.53,0,1,2,5.43,5.41,3.05
0.32,2,4,7,4.37,4.42,2.71
1.56,3,3,4,7.47,7.52,4.51
0.56,1,1,4,5.35,5.36,3.2
2.1,3,4,3,8.33,8.28,5.02
1.04,3,1,3,6.65,6.56,3.97
1.01,2,1,4,6.45,6.4,4.03
0.94,3,1,2,6.27,6.24,3.9
1.05,1,6,4,6.74,6.67,3.88
1.01,2,1,3,6.34,6.3,3.98
0.38,2,2,6,4.63,4.67,2.9
1.04,2,1,3,6.48,6.51,4.02
0.57,2,1,5,5.35,5.4,3.27
0.9,4,4,2,6.22,6.25,3.79
2.02,2,6,5,8.11,8.14,5.02
1.01,3,4,5,6.33,6.29,3.95
0.33,3,4,4,4.48,4.53,2.68
0.35,3,1,6,4.58,4.55,2.77
0.3,2,2,1,4.34,4.36,2.63
0.6,1,1,2,5.31,5.36,3.35
2.54,4,4,3,8.68,8.65,5.5
1.01,4,3,7,6.25,6.38,3.98
0.36,3,0,2,4.61,4.65,2.76
0.41,3,1,4,4.77,4.79,2.9
1.06,3,5,4,6.57,6.5,4.08
0.42,3,1,2,4.82,4.85,3.0
0.71,2,3,6,5.76,5.8,3.53
1.01,2,2,4,6.46,6.5,3.96
0.71,2,2,3,5.71,5.74,3.56
0.84,2,3,3,6.13,6.1,3.73
0.3,4,3,5,4.21,4.25,2.65
0.4,2,2,4,4.75,4.78,2.91
1.23,2,5,3,6.97,6.88,4.2
1.2,2,3,3,6.86,6.83,4.18
0.32,3,2,7,4.41,4.34,2.72
0.51,4,1,4,5.18,5.25,3.13
1.08,4,4,5,6.5,6.55,4.06
0.3,3,4,7,4.31,4.29,2.67
1.01,3,1,3,6.35,6.29,3.94
0.26,2,1,4,4.13,4.09,2.54
0.4,2,1,7,4.74,4.78,2.94
1.27,2,6,3,6.85,6.88,4.3
0.3,2,2,4,4.31,4.34,2.69
1.24,4,5,4,6.89,6.88,4.23
0.3,3,4,6,4.29,4.32,2.7
0.61,2,0,6,5.43,5.46,3.38
0.44,2,1,5,4.86,4.89,3.02
1.09,2,3,5,6.61,6.65,4.11
1.35,4,3,5,7.01,7.04,4.41
0.39,2,3,2,4.69,4.8,2.88
1.3,3,6,2,7.07,7.04,4.37
1.31,3,0,6,7.01,6.95,4.38
0.36,1,1,1,4.74,4.79,2.75
0.7,3,0,4,5.79,5.72,3.51
1.51,3,5,5,7.36,7.4,4.56
1.05,2,3,3,6.52,6.56,4.07
1.11,2,4,2,6.65,6.69,4.11
0.71,4,3,3,5.68,5.62,3.58
1.01,3,3,4,6.51,6.48,3.89
1.16,2,4,3,6.78,6.79,4.15
0.38,4,0,2,4.66,4.69,2.79
0.46,3,1,4,4.93,4.96,3.05
1.51,2,0,2,7.35,7.39,4.57
1.0,1,2,2,6.24,6.3,3.99
1.0,4,2,3,6.3,6.38,4.02
0.3,2,6,4,4.37,4.4,2.62
0.7,4,1,5,5.57,5.61,3.49
0.72,1,2,2,5.67,5.62,3.61
0.97,4,4,2,6.25,6.3,3.94
0.72,2,0,5,5.7,5.73,3.58
1.02,1,2,2,6.27,6.23,3.98
1.51,3,4,0,7.39,7.34,4.56
1.52,1,0,3,7.25,7.31,4.6
0.7,1,3,5,5.68,5.69,3.53
2.2,4,4,3,8.28,8.17,5.21
0.35,4,4,2,4.51,4.48,2.84
0.71,2,2,0,5.79,5.76,3.47
1.61,4,1,3,7.39,7.49,4.66
1.01,3,3,5,6.46,6.41,3.94
0.9,1,0,2,6.06,6.1,3.77
0.35,2,2,7,4.56,4.52,2.82
1.01,3,3,2,6.52,6.47,3.87
0.52,2,3,2,5.18,5.22,3.21
0.62,4,4,1,5.52,5.55,3.34
1.01,4,4,3,6.35,6.29,4.01
0.3,4,5,2,4.3,4.23,2.7
2.16,3,4,3,8.29,8.22,5.14
0.41,2,1,7,4.78,4.75,2.97
1.22,2,5,4,6.83,6.79,4.29
0.3,3,0,5,4.28,4.32,2.66
0.31,2,2,5,4.36,4.34,2.73
1.63,2,5,7,7.49,7.52,4.69
1.5,3,3,3,7.36,7.33,4.46
0.71,2,1,5,5.72,5.77,3.56
0.73,3,1,4,5.81,5.78,3.55
1.52,4,4,5,7.45,7.42,4.44
0.32,4,0,2,4.34,4.37,2.73
0.54,2,0,2,5.18,5.23,3.23
0.71,3,4,2,5.73,5.77,3.51
0.28,4,1,7,4.22,4.25,2.6
1.37,2,3,6,7.12,7.07,4.44
0.5,0,3,3,4.99,4.92,3.25
0.51,3,5,2,5.06,5.09,3.18
0.78,2,0,2,5.91,5.86,3.64
0.56,2,1,2,5.28,5.32,3.25
0.41,2,0,2,4.8,4.78,2.95
0.38,3,6,4,4.64,4.6,2.87
0.32,2,3,4,4.45,4.43,2.72
0.57,3,3,2,5.29,5.26,3.3
1.64,2,5,4,7.68,7.62,4.64
0.56,2,0,5,5.28,5.24,3.27
1.0,3,4,7,6.46,6.41,3.88
0.7,3,2,3,5.86,5.79,3.4
2.17,4,6,3,8.37,8.41,5.1
1.7,2,5,2,7.73,7.67,4.65
1.21,3,6,2,6.93,6.9,4.13
0.57,2,1,7,5.37,5.36,3.27
0.3,3,1,5,4.37,4.4,2.63
1.09,3,2,2,6.56,6.51,4.1
0.72,2,4,2,5.76,5.8,3.57
1.0,3,1,4,6.56,6.51,3.86
0.78,3,2,3,5.9,5.86,3.69
0.76,3,4,2,5.91,5.86,3.58
0.71,4,5,7,5.72,5.75,3.55
0.32,3,5,3,4.48,4.45,2.68
1.06,2,2,5,6.57,6.6,4.03
0.58,2,2,3,5.42,5.39,3.34
2.01,4,5,3,8.01,8.05,4.96
0.43,2,2,6,4.9,4.87,2.98
0.52,2,2,4,5.21,5.16,3.23
0.3,2,0,4,4.38,4.41,2.67
0.3,2,0,2,4.29,4.34,2.65
1.01,4,4,2,6.41,6.44,3.93
1.0,4,3,4,6.42,6.45,3.9
